episode,reward,completion_rate,collisions,steps,epsilon
0.0,-11.400000000000013,0.0,0.0,100.0,0.995
1.0,-11.68000000000001,0.0,0.0,100.0,0.990025
2.0,-10.080000000000009,0.0,0.0,100.0,0.985074875
3.0,-9.239999999999998,0.0,0.0,100.0,0.9801495006250001
4.0,-13.680000000000017,0.0,1.0,100.0,0.9752487531218751
5.0,-9.440000000000001,0.0,0.0,100.0,0.9703725093562657
6.0,-14.440000000000014,0.0,2.0,100.0,0.9655206468094844
7.0,-10.440000000000003,0.0,0.0,100.0,0.960693043575437
8.0,-10.560000000000016,0.0,0.0,100.0,0.9558895783575597
9.0,-12.240000000000009,0.0,0.0,100.0,0.9511101304657719
10.0,-16.680000000000014,0.0,3.0,100.0,0.946354579813443
11.0,-9.480000000000008,0.0,0.0,100.0,0.9416228069143757
12.0,-13.000000000000016,0.0,0.0,100.0,0.9369146928798039
13.0,-9.760000000000007,0.0,0.0,100.0,0.9322301194154049
14.0,-9.160000000000005,0.0,0.0,100.0,0.9275689688183278
15.0,-10.480000000000006,0.0,0.0,100.0,0.9229311239742362
16.0,-8.63999999999999,0.0,0.0,100.0,0.918316468354365
17.0,-10.32000000000001,0.0,0.0,100.0,0.9137248860125932
18.0,-8.319999999999993,0.0,0.0,100.0,0.9091562615825302
19.0,-9.040000000000003,0.0,0.0,100.0,0.9046104802746175
20.0,-10.800000000000013,0.0,0.0,100.0,0.9000874278732445
21.0,-5.839999999999995,0.0,0.0,100.0,0.8955869907338783
22.0,2.040000000000003,0.5,0.0,100.0,0.8911090557802088
23.0,-10.000000000000004,0.0,0.0,100.0,0.8866535105013078
24.0,-10.160000000000009,0.0,3.0,100.0,0.8822202429488013
25.0,-10.64,0.0,1.0,100.0,0.8778091417340573
26.0,-6.759999999999991,0.0,0.0,100.0,0.8734200960253871
27.0,-7.07999999999999,0.0,1.0,100.0,0.8690529955452602
28.0,-8.52,0.0,0.0,100.0,0.8647077305675338
29.0,-8.119999999999994,0.0,0.0,100.0,0.8603841919146962
30.0,2.4800000000000004,0.5,0.0,100.0,0.8560822709551227
31.0,-9.079999999999997,0.0,0.0,100.0,0.851801859600347
32.0,-7.519999999999996,0.0,0.0,100.0,0.8475428503023453
33.0,-12.92000000000001,0.0,4.0,100.0,0.8433051360508336
34.0,-10.120000000000012,0.0,2.0,100.0,0.8390886103705794
35.0,-11.240000000000006,0.0,1.0,100.0,0.8348931673187264
36.0,-10.640000000000011,0.0,0.0,100.0,0.8307187014821328
37.0,-8.279999999999996,0.0,0.0,100.0,0.8265651079747222
38.0,-8.760000000000005,0.0,0.0,100.0,0.8224322824348486
39.0,-5.799999999999994,0.0,1.0,100.0,0.8183201210226743
40.0,-8.239999999999995,0.0,0.0,100.0,0.8142285204175609
41.0,-7.559999999999991,0.0,0.0,100.0,0.810157377815473
42.0,-7.719999999999994,0.0,0.0,100.0,0.8061065909263957
