Algorithm,Mean reward - last 100 episodes,Mean completion - last 100 episodes,Mean collisions - last 100 episodes,Mean steps - last 100 episodes
Q-learning,37.22959999999998,0.93,0.12,57.88
SARSA,39.85989999999998,0.95,0.05,48.05
